4.5	6	1a
6	7.62	1b
7.62	10.26	1c
10.26	14.12	2a
14.12	17.82	2b
17.82	19.8	3a
19.8	21.68	3b
21.68	23.04	3c
23.04	24.78	3d
24.78	27.72	4a
27.72	28.74	4b
28.74	29.8	4c
29.8	31.8	4d
31.8	35.68	5a
35.68	39.66	5b
39.66	41.02	6a
41.02	43.58	6b
43.58	47.28	6c
47.28	49.16	7a
49.16	51.2	7b
51.2	54.02	7c
54.02	57.68	8a
57.68	59.44	8b
59.44	62.04	8c
62.04	65	9a
65	67.26	9b
67.26	70.82	10a
70.82	73.4	10b
73.4	74.62	10c
74.62	77.82	11a
77.82	80.96	11b
80.96	82.22	12a
82.22	83.38	12b
83.38	84.78	12c
84.78	86.54	12d
86.54	89.12	13a
89.12	90.26	13b
90.26	92.42	13c
92.42	94	14a
94	95.72	14b
95.72	99.14	14c
99.14	102.02	15a
102.02	104.9	15b
104.9	106.36	16a
106.36	108.16	16b
108.16	112.02	16c
112.02	114.18	17a
114.18	115.72	17b
115.72	119	17c
119	122.1	18a
122.1	125.42	18b
125.42	128.24	19a
128.24	130.54	19b
130.54	133.56	19c
133.56	136.64	20a
136.64	139.82	20b
139.82	142.96	21a
142.96	145.16	21b
145.16	146.52	21c
146.52	148.36	21d
148.36	150.06	22a
150.06	151.64	22b
151.64	154.14	22c
154.14	156.62	23a
156.62	159.18	23b
159.18	162.74	24a
162.74	166.64	24b
