7	10	s1
10	12	1a
12	13.92	1b
13.92	15.86	1c
15.86	18.2	2a
18.2	20.66	2b
20.66	21.76	2c
21.76	23.68	2d
23.68	26.26	3a
26.26	29.58	3b
29.58	30.48	4a
30.48	32.26	4b
32.26	34.02	4c
34.02	35.52	4d
35.52	36.54	4e
36.54	37.66	5a
37.66	38.84	5b
38.84	39.9	5c
39.9	42.84	5d
42.84	44.24	5e
44.24	47.92	6a
47.92	51.56	6b
51.56	56.08	s2
56.08	58.2	7a
58.2	60.26	7b
60.26	62	7c
62	63.32	7d
63.32	66	8a
66	67.8	8b
67.8	69.94	8c
69.94	70.88	8d
70.88	72.58	9a
72.58	73.9	9b
73.9	75.46	9c
75.46	77.7	9d
77.7	82.24	10a
82.24	85.78	10b
85.78	88.18	11a
88.18	90.92	11b
90.92	92.16	11c
92.16	93.74	11d
93.74	95.26	12a
95.26	96.52	12b
96.52	98.34	12c
98.34	101.14	12d
101.14	105.04	s3
105.04	107.16	13a
107.16	109.72	13b
109.72	110.82	13c
110.82	112.46	13d
112.46	114.88	14a
114.88	118.42	14b
118.42	120.9	15a
120.9	123.64	15b
123.64	125.26	16a
125.26	126.96	16b
126.96	128.66	16c
128.66	129.8	16d
129.8	131.2	16e
131.2	133.62	17a
133.62	136.58	17b
136.58	141.36	18a
141.36	143.06	18b
143.06	144.96	18c
