8.1	10.1	1a
10.1	11.1	1b
11.1	13.46	1c
13.46	14.46	1d
14.46	16.34	2a
16.34	18.2	2b
18.2	20.28	2c
20.28	22.08	2d
22.08	24.64	3a
24.64	30	3b
30	31.88	4a
31.88	32.72	4b
32.72	34.38	4c
34.38	37.44	4d
37.44	40.16	5a
40.16	43.12	5b
43.12	46.68	5c
46.68	49.82	6a
49.82	52.76	6b
52.76	54.14	7a
54.14	55.92	7b
55.92	59.26	7c
59.26	62.64	8a
62.64	64.4	8b
64.4	66.8	8c
66.8	67.86	9a
67.86	69.64	9b
69.64	71.88	9c
71.88	74.1	9d
74.1	78.9	s1
78.9	81.6	10a
81.6	82.68	10b
82.68	84.58	10c
84.58	87.1	11a
87.1	90.52	11b
90.52	92.28	11c
92.28	94.98	12a
94.98	96.2	12b
96.2	97.92	12c
97.92	101.28	13a
101.28	103.58	13b
103.58	106.14	14a
106.14	108.7	14b
108.7	111.22	15a
111.22	113.84	15b
113.84	116.76	15c
116.76	119.06	16a
119.06	120.22	16b
120.22	122.4	16c
122.4	124.38	16d
124.38	127.32	17a
127.32	129.46	17b
129.46	132.54	18a
132.54	135.26	18b
135.26	137.68	19a
137.68	138.9	19b
138.9	140.38	19c
140.38	142.38	20a
142.38	144.72	20b
144.72	148.16	21a
148.16	151.42	21b
151.42	154.38	22a
154.38	157.58	22b
157.58	160.94	23a
160.94	164	23b
164	167.7	24a
167.7	168.76	24b
168.76	170.24	24c
170.24	172.84	24d
172.84	175.5	25a
175.5	177.78	25b
177.78	179.94	26a
179.94	181.88	26b
181.88	186.2	27a
186.2	188.8	27b
188.8	190.9	28a
190.9	192.52	28b
192.52	194.9	28c
194.9	197.54	29a
197.54	198.94	29b
198.94	200.78	29c
200.78	204.64	30a
204.64	207.08	30b
207.08	209.5	30c
209.5	211.68	30d
211.68	214.1	31a
214.1	216.84	31b
