4	5.8	1a
5.8	7.52	1b
7.52	9.46	1c
9.46	10.86	1d
10.86	12.06	2a
12.06	13.76	2b
13.76	15.38	2c
15.38	16.92	2d
16.92	18.58	3a
18.58	21.04	3b
21.04	24.18	3c
24.18	27	3d
27	32.02	4a
32.02	37.52	4b
37.52	39.32	5a
39.32	41.92	5b
41.92	45.2	5c
45.2	46.88	6a
46.88	49.1	6b
49.1	51.3	6c
51.3	55.56	6d
55.56	58.78	7a
58.78	59.9	7b
59.9	61.22	7c
61.22	62.56	7d
62.56	64.18	7e
64.18	66.06	8a
66.06	67.9	8b
67.9	70.88	8c
70.88	72.42	8d
72.42	74.72	9a
74.72	77.06	9b
77.06	82.2	9c
82.2	86.02	10a
86.02	89.12	10b
89.12	90.84	11a
90.84	92.66	11b
92.66	95.86	11c
95.86	99.32	12a
99.32	101.64	12b
101.64	104.04	12c
104.04	107.26	13a
107.26	110.28	13b
110.28	113.1	14a
113.1	114.12	14b
114.12	115.4	14c
115.4	117.48	15a
117.48	119.68	15b
119.68	122.94	15c
122.94	124.96	16a
124.96	127.06	16b
127.06	128.38	16c
128.38	130.48	16d
130.48	131.92	17a
131.92	133.66	17b
133.66	135.36	17c
135.36	137.4	17d
137.4	139.7	18a
139.7	141.58	18b
141.58	143.16	18c
143.16	144.78	18d
144.78	146.56	19a
146.56	148.26	19b
148.26	149.42	19c
149.42	150.8	19d
150.8	152.72	19e
152.72	156.54	20a
156.54	158.22	20b
158.22	159.66	20c
159.66	162.6	21a
162.6	166.38	21b
166.38	169.56	22a
169.56	171.9	22b
171.9	174.42	23a
174.42	175.48	23b
175.48	178.26	23c
178.26	179.96	24a
179.96	181.22	24b
181.22	182.4	24c
182.4	183.6	24d
183.6	186.76	25a
186.76	190.7	25b
190.7	194.84	26a
194.84	196.2	26b
196.2	198.3	26c
198.3	200.24	27a
200.24	201.34	27b
201.34	203.76	27c
203.76	204.98	28a
204.98	206.28	28b
206.28	209.64	28c
