4.12	7.8	s1
7.8	9.94	1a
9.94	11.06	1b
11.06	13.9	1c
13.9	19.4	2a
19.4	22.94	2b
22.94	25.14	3a
25.14	26.22	3b
26.22	28.94	3c
28.94	30.36	3d
30.36	33.34	3e
33.34	35.64	3f
35.64	37.34	4a
37.34	38.78	4b
38.78	41	4c
41	41.98	4d
41.98	43.88	5a
43.88	46.94	5b
46.94	50.32	5c
50.32	53.28	5d
53.28	54	6a
54	55.56	6b
55.56	56.76	6c
56.76	58.12	6d
58.12	60.02	6e
60.02	61.8	6f
61.8	65.68	6g
65.68	71.48	s2
71.48	73.02	7a
73.02	75.8	7b
75.8	78.82	8a
78.82	81.3	8b
81.3	84.46	8c
84.46	86.26	8d
86.26	87.98	8e
87.98	90.2	8f
90.2	92.04	9a
92.04	94.22	9b
94.22	97.36	9c
97.36	100.9	9d
100.9	104.26	9e
104.26	107.24	9f
107.24	109.46	10a
109.46	111.2	10b
111.2	113.86	10c
113.86	116.16	10d
