3.48	6.36	s1
6.36	11.12	1a
11.12	14.18	1b
14.18	16.42	2a
16.42	18.2	2b
18.2	20.34	2c
20.34	22.18	2d
22.18	26	2e
26	30.1	2f
30.1	32.56	2g
32.56	34.58	2h
34.58	37.34	3a
37.34	38.94	3b
38.94	41.64	3c
41.64	44.64	3d
44.64	47.8	3e
47.8	50.76	3f
50.76	53.46	4a
53.46	55.62	4b
55.62	58.3	4c
58.3	60	5a
60	61.2	5b
61.2	64.92	5c
64.92	68.02	6a
68.02	69.7	6b
69.7	74.28	6c
74.28	77.5	7a
77.5	78.54	7b
78.54	80.48	7c
80.48	84.08	8a
84.08	85.14	8b
85.14	86.48	8c
86.48	88.14	8d
88.14	92.24	9a
92.24	93.5	9b
93.5	97.88	9c
97.88	100.94	s2
100.94	103.32	10a
103.32	105.12	10b
105.12	107.1	10c
107.1	108.3	10d
108.3	112.02	10e
112.02	114.16	11a
114.16	115.5	11b
115.5	117.52	11c
117.52	121.12	12a
121.12	123.4	12b
123.4	128.68	12c
