3	8.56	1a
8.56	11.22	1b
11.22	12.96	2a
12.96	14.78	2b
14.78	18.06	2c
18.06	21.72	3a
21.72	24.06	3b
24.06	26.16	4a
26.16	29.64	4b
29.64	30.96	5a
30.96	31.96	5b
31.96	33.32	5c
33.32	35.16	5d
35.16	38.18	6a
38.18	39.68	6b
39.68	40.88	6c
40.88	42.7	6d
42.7	45.2	7a
45.2	48.16	7b
48.16	51.64	8a
51.64	54.12	8b
54.12	57.04	9a
57.04	60.04	9b
60.04	62.82	10a
62.82	64.86	10b
64.86	67.64	11a
67.64	69.72	11b
69.72	72.16	11c
72.16	73.94	11d
73.94	79.18	12a
79.18	81.52	12b
81.52	84.34	13a
84.34	85.96	13b
85.96	87.6	13c
87.6	89.1	14a
89.1	90.9	14b
90.9	91.98	14c
91.98	93.82	14d
93.82	95.48	14e
95.48	96.78	14f
96.78	98.68	15a
98.68	100.32	15b
100.32	103.88	15c
103.88	106.48	16a
106.48	108.9	16b
108.9	111.04	17a
111.04	112.9	17b
112.9	117.96	17c
117.96	122.06	18a
122.06	126.64	18b
126.64	129.08	19a
129.08	131.88	19b
131.88	133.56	19c
133.56	138.6	20a
138.6	141.54	20b
141.54	144.24	21a
144.24	146.14	21b
146.14	148.7	21c
148.7	154	22a
154	157.88	22b
157.88	159.92	23a
159.92	161.66	23b
161.66	163.64	23c
163.64	165.34	24a
165.34	166.78	24b
166.78	168.04	24c
168.04	169.64	24d
169.64	173.84	25a
173.84	176.52	25b
176.52	178.9	26a
178.9	180.06	26b
180.06	184.38	26c
184.38	188.08	27a
188.08	191.08	27b
191.08	194.64	28a
194.64	196.46	28b
196.46	198.58	28c
198.58	202.38	29a
202.38	207.76	29b
207.76	210.08	30a
210.08	212.9	30b
212.9	216.04	30c
216.04	218.08	31a
218.08	219.44	31b
219.44	222.08	31c
