2	3.5	s1
3.5	6.32	1a
6.32	8.28	1b
8.28	10.88	1c
10.88	13.16	2a
13.16	15.14	2b
15.14	17.64	3a
17.64	19.72	3b
19.72	23.48	3c
23.48	26.3	4a
26.3	29.2	4b
29.2	33.48	5a
33.48	36.54	5b
36.54	38.06	6a
38.06	40.5	6b
40.5	42.12	6c
42.12	44.86	7a
44.86	46.54	7b
46.54	47.86	7c
47.86	49.46	8a
49.46	51.36	8b
51.36	54.2	9a
54.2	56.42	9b
56.42	58.76	10a
58.76	60.08	10b
60.08	63.06	10c
63.06	64.36	11a
64.36	67.16	11b
67.16	69.04	11c
69.04	71.06	12a
71.06	72.66	12b
72.66	73.72	12c
73.72	74.68	12d
74.68	77.66	12e
77.66	81.8	s2
81.8	86.52	13a
86.52	88.96	13b
88.96	91.32	14a
91.32	93.86	14b
93.86	96.74	15a
96.74	99.62	15b
99.62	100.9	16a
100.9	102.86	16b
102.86	104.5	16c
104.5	106.4	16d
106.4	109.1	17a
109.1	111.66	17b
111.66	114.42	18a
114.42	116.08	18b
116.08	119.06	18c
119.06	122.62	19a
122.62	125.32	19b
125.32	129.68	20a
129.68	132.56	20b
132.56	136.96	s3
136.96	139.28	21a
139.28	143.2	21b
143.2	146.74	21c
146.74	148.88	22a
148.88	150.86	22b
150.86	153.52	23a
153.52	155.54	23b
155.54	158.7	24a
158.7	160.82	24b
160.82	164.08	25a
164.08	166.6	25b
166.6	169.52	26a
169.52	171.9	26b
171.9	174.82	27a
174.82	176.74	27b
176.74	178.72	28a
178.72	179.98	28b
179.98	181.04	28c
181.04	182.64	28d
182.64	185	29a
185	187.2	29b
187.2	189.9	30a
189.9	191.62	30b
191.62	194.34	31a
194.34	196.86	31b
196.86	200.2	32a
200.2	202.42	32b
202.42	205.76	33a
205.76	209.24	33b
209.24	211.04	34a
211.04	212.86	34b
212.86	214.34	34c
214.34	216.18	34d
216.18	219.68	35a
219.68	223.4	35b
