1.9	5.42	s1
5.42	7.68	1a
7.68	9.88	1b
9.88	11.98	1c
11.98	14.12	2a
14.12	16	2b
16	18.84	3a
18.84	21.18	3b
21.18	24.26	4a
24.26	27.8	4b
27.8	31.12	5a
31.12	33.7	5b
33.7	37.28	6a
37.28	39.92	6b
39.92	41.62	6c
41.62	45.66	7a
45.66	47.8	7b
47.8	50.88	8a
50.88	53.78	8b
53.78	56.66	9a
56.66	60.32	9b
60.32	63.9	10a
63.9	65.14	10b
65.14	66.96	10c
66.96	68.44	11a
68.44	69.8	11b
69.8	71.34	11c
71.34	72.38	11d
72.38	74.32	12a
74.32	77.88	12b
77.88	79.86	13a
79.86	82.44	13b
82.44	85.28	14a
85.28	88.28	14b
88.28	92.1	15a
92.1	94.92	15b
94.92	100.34	16a
100.34	101.88	16b
101.88	104.48	16c
104.48	106.98	17a
106.98	108.32	17b
108.32	111.2	17c
111.2	114.74	18a
114.74	118.44	18b
118.44	121.86	19a
121.86	125.3	19b
125.3	129.5	20a
129.5	132.58	20b
132.58	135.22	21a
135.22	137.26	21b
137.26	138.34	22a
138.34	140.14	22b
140.14	141.72	22c
141.72	142.86	22d
142.86	144.2	22e
