2	5.64	s1
5.64	7.48	1a
7.48	9.68	1b
9.68	11.64	1c
11.64	13.52	2a
13.52	16.08	2b
16.08	20	3a
20	23.46	3b
23.46	26.32	4a
26.32	30.26	4b
30.26	33.02	5a
33.02	36.08	5b
36.08	37.92	6a
37.92	39.16	6b
39.16	40.58	6c
40.58	41.48	7a
41.48	42.72	7b
42.72	44.32	7c
44.32	47.32	7d
47.32	49.64	8a
49.64	51.78	8b
51.78	54.26	9a
54.26	55.56	9b
55.56	57.8	9c
57.8	60.34	10a
60.34	63.26	10b
63.26	65.28	11a
65.28	66.64	11b
66.64	68.4	11c
68.4	70.08	12a
70.08	71.8	12b
71.8	73.54	12c
73.54	76	12d
76	80.56	13a
80.56	84.62	13b
84.62	87.66	14a
87.66	90.32	14b
90.32	94.84	s2
94.84	96.7	15a
96.7	99.36	15b
99.36	102.48	16a
102.48	105.72	16b
105.72	107.14	17a
107.14	108.34	17b
108.34	111.02	17c
111.02	114	18a
114	118.26	18b
118.26	120.66	19a
120.66	123.34	19b
123.34	126.06	19c
126.06	127.32	20a
127.32	129.94	20b
129.94	132.48	20c
132.48	134.24	21a
134.24	135.9	21b
135.9	139.46	21c
139.46	142.96	22a
142.96	145.74	22b
145.74	146.98	22c
146.98	148.38	23a
148.38	149.54	23b
149.54	150.98	23c
150.98	153.8	23d
