3.3	6.88	1a
6.88	9.72	1b
9.72	13.2	2a
13.2	16.38	2b
16.38	17.94	3a
17.94	19.32	3b
19.32	20.28	3c
20.28	23.58	3d
23.58	24.42	3e
24.42	26.84	4a
26.84	28.46	4b
28.46	31.1	4c
31.1	33.34	5a
33.34	35.12	5b
35.12	38.04	5c
38.04	40.42	6a
40.42	41.68	6b
41.68	42.92	6c
42.92	45.76	7a
45.76	48.12	7b
48.12	49.8	8a
49.8	51.34	8b
51.34	53.08	8c
53.08	54.16	8d
54.16	56.88	9a
56.88	59.64	9b
59.64	61.3	10a
61.3	62.32	10b
62.32	64.66	10c
64.66	66	11a
66	67.56	11b
67.56	68.7	11c
68.7	71.74	12a
71.74	74.68	12b
74.68	76.76	13a
76.76	77.48	13b
77.48	79.24	13c
79.24	82.54	13d
82.54	86.18	14a
86.18	89.26	14b
89.26	92.78	15a
92.78	94.26	15b
94.26	95.9	15c
95.9	99.96	16a
99.96	101.84	16b
101.84	104.92	16c
104.92	108.78	s1
108.78	112.56	17a
112.56	115.14	17b
115.14	116.64	18a
116.64	117.96	18b
117.96	120.32	18c
120.32	122.86	19a
122.86	125.5	19b
125.5	129.2	20a
129.2	132.24	20b
132.24	135.16	21a
135.16	140	21b
140	141	21c
141	141	s2
141	143.52	22a
143.52	145.16	22b
145.16	147.32	22c
147.32	149.38	23a
149.38	150.34	23b
150.34	153.44	23c
153.44	153.44	s3
153.44	155.2	24a
155.2	157.72	24b
157.72	159.86	25a
159.86	162.26	25b
162.26	162.26	s4
162.26	164.7	26a
164.7	166.78	26b
166.78	169.34	27a
169.34	171.2	27b
171.2	172.74	27c
172.74	172.74	s5
172.74	177.06	28a
177.06	179.66	28b
179.66	179.66	s6
179.66	182.88	29a
182.88	184.26	29b
184.26	186.28	29c
