\id ECC
\c 12
\level phrase
\separators . ? ! : ; ,
4.38	6.56	1a
6.56	8.38	1b
8.38	10.58	1c
10.58	12.34	1d
12.34	13.84	1e
13.84	16.08	1f
16.08	18.22	2a
18.22	19.6	2b
19.6	21.02	2c
21.02	23.08	2d
23.08	25.66	2e
25.66	30.88	3a
30.88	33.86	3b
33.86	35.64	3c
35.64	37.44	3d
37.44	40.04	3e
40.04	42.98	4a
42.98	45.36	4b
45.36	48.16	4c
48.16	49.5	4d
49.5	51.44	4e
51.44	52.9	4f
52.9	54.64	5a
54.64	56.16	5b
56.16	58	5c
58	60.02	5d
60.02	61.38	5e
61.38	63.54	5f
63.54	67.14	5g
67.14	69.48	5h
69.48	71.92	5i
71.92	74.58	6a
74.58	77.76	6b
77.76	78.8	6c
78.8	79.66	6d
79.66	81.56	6e
81.56	82.82	6f
82.82	84.48	6g
84.48	85.66	6h
85.66	87.8	7a
87.8	88.64	7b
88.64	92.16	7c
92.16	94.64	8a
94.64	96.36	8b
96.36	100.14	8c
100.14	102.96	s1
102.96	105.52	9a
105.52	107.84	9b
107.84	110.26	9c
110.26	114.32	9d
114.32	118.38	10a
118.38	119.28	10b
119.28	121.7	10c
121.7	124.96	11a
124.96	126.88	11b
126.88	129.36	11c
129.36	130.6	11d
130.6	132.8	11e
132.8	135.76	11f
135.76	137.34	12a
137.34	139.2	12b
139.2	140.12	12c
140.12	143.42	12d
143.42	145.2	12e
145.2	147.02	12f
147.02	149.28	13a
149.28	152.18	13b
152.18	153.3	13c
153.3	154.46	13d
154.46	155.92	13e
155.92	157.08	13f
157.08	159.64	13g
159.64	162.02	14a
162.02	163.96	14b
163.96	166.24	14c
166.24	167.56	14d
167.56	168.8	14e
